Title,Genre,Year,imdbRating,Plot
Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller",2015,7.4,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF."
Jupiter Ascending,"Action, Adventure, Sci-Fi",2015,5.3,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.
Ex Machina,"Drama, Mystery, Sci-Fi, Thriller",2014,7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.
In the Heart of the Sea,"Action, Adventure, Biography, Drama, History, Thriller",2015,6.9,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick."
Jurassic World,"Action, Adventure, Sci-Fi",2015,7.0,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
Maze Runner: The Scorch Trials,"Action, Sci-Fi, Thriller",2015,6.3,"After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles."
Black Sea,"Adventure, Drama, Thriller",2014,6.4,"In order to make good with his former employers, a submarine captain takes a job with a shadowy backer to search the depths of the Black Sea for a submarine rumored to be loaded with gold."
Kingsman: The Secret Service,"Action, Adventure, Comedy, Thriller",2014,7.7,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
Chappie,"Action, Crime, Drama, Sci-Fi, Thriller",2015,6.8,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself."
Taken 3,"Action, Thriller",2014,6.0,"Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name."
Blackhat,"Action, Crime, Thriller",2015,5.4,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.
Terminator Genisys,"Action, Adventure, Sci-Fi",2015,6.4,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline."
Mad Max: Fury Road,"Action, Adventure, Sci-Fi, Thriller",2015,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
Insidious: Chapter 3,"Horror, Mystery, Thriller",2015,6.1,A prequel set before the haunting of the Lambert family that reveals how gifted psychic Elise Rainier reluctantly agrees to use her ability to contact the dead in order to help a teenage girl who has been targeted by a dangerous supernatural entity.
Star Wars: The Force Awakens,"Action, Adventure, Fantasy, Sci-Fi",2015,8.0,"Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
Ben-Hur,"Action, Adventure, Drama, History",2016,5.7,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption."
Warcraft: The Beginning,"Action, Adventure, Fantasy",2016,6.9,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
Avengers: Age of Ultron,"Action, Adventure, Sci-Fi",2015,7.4,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",2017,6.6,Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.
Justice League,"Action, Adventure, Fantasy, Sci-Fi",2017,6.5,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his newfound ally, Diana Prince, to face an even greater enemy."
Ant-Man,"Action, Adventure, Comedy, Sci-Fi",2015,7.3,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world."
Fantastic Four,"Action, Adventure, Drama, Sci-Fi",2015,4.3,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.
Deadpool,"Action, Adventure, Comedy, Sci-Fi",2016,8.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
Black Panther,"Action, Adventure, Sci-Fi",2018,7.4,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
